Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"74.9: (73.4, 76.3)","74.8: (31.4, 105.7)","4648.2: (4578.9, 4717.6)","4651.6: (7.0, 14535.0)"
AWW (10%),8%,"51.6: (50.2, 53.0)","51.6: (27.0, 74.0)","432.5: (425.4, 439.6)","431.7: (6.0, 1624.0)"
AWW (25%),8%,"47.5: (46.0, 48.9)","47.4: (23.0, 69.0)","175.4: (172.6, 178.2)","175.2: (1.0, 667.0)"
AWW (50%),8%,"41.4: (40.0, 42.9)","41.5: (17.0, 63.0)","45.8: (45.0, 46.5)","45.8: (0.0, 190.0)"
AWW (100%),8%,"38.4: (37.0, 39.9)","38.4: (14.0, 60.0)","23.2: (22.8, 23.6)","23.2: (0.0, 104.0)"
AWW (10%),16%,"48.5: (47.1, 49.9)","48.6: (24.0, 70.0)","219.6: (215.9, 223.3)","216.8: (2.0, 819.0)"
AWW (25%),16%,"41.4: (40.0, 42.9)","41.5: (17.0, 63.0)","45.8: (45.0, 46.5)","46.0: (0.0, 192.0)"
AWW (50%),16%,"38.4: (37.0, 39.9)","38.4: (14.0, 60.0)","23.2: (22.8, 23.6)","23.2: (0.0, 104.0)"
AWW (100%),16%,"38.2: (36.8, 39.7)","38.2: (14.0, 60.0)","22.2: (21.8, 22.6)","22.3: (0.0, 101.0)"
