Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"60.9: (59.8, 62.0)","60.9: (26.1, 88.0)","12616.2: (12396.8, 12835.6)","12628.4: (12.0, 54310.0)"
AWW (10%),8%,"39.1: (38.0, 40.1)","39.1: (21.0, 55.0)","452.8: (446.2, 459.5)","452.8: (8.0, 1669.0)"
AWW (25%),8%,"36.1: (35.0, 37.2)","36.1: (18.0, 52.0)","189.4: (186.5, 192.2)","188.8: (2.0, 716.0)"
AWW (50%),8%,"31.7: (30.7, 32.8)","31.7: (14.0, 48.0)","50.7: (49.9, 51.5)","50.7: (0.0, 206.0)"
AWW (100%),8%,"29.6: (28.5, 30.7)","29.6: (12.0, 46.0)","26.0: (25.6, 26.4)","26.2: (0.0, 115.0)"
AWW (10%),16%,"36.9: (35.8, 37.9)","36.9: (19.0, 53.0)","235.6: (232.0, 239.2)","236.4: (3.0, 869.0)"
AWW (25%),16%,"31.7: (30.7, 32.8)","31.7: (14.0, 48.0)","50.7: (49.9, 51.5)","50.8: (0.0, 207.0)"
AWW (50%),16%,"29.6: (28.5, 30.7)","29.6: (12.0, 46.0)","26.0: (25.6, 26.4)","26.2: (0.0, 116.0)"
AWW (100%),16%,"29.4: (28.4, 30.5)","29.4: (12.0, 46.0)","24.7: (24.3, 25.1)","24.7: (0.0, 110.0)"
