Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"110.1: (106.2, 114.0)","110.3: (40.3, 174.1)","41.6: (40.9, 42.3)","41.8: (0.0, 150.0)"
AWW (10%),8%,"116.6: (112.7, 120.6)","116.6: (50.0, 177.0)","58.2: (57.0, 59.4)","58.4: (0.0, 165.0)"
AWW (25%),8%,"110.4: (106.5, 114.2)","110.1: (42.0, 171.0)","39.9: (39.3, 40.5)","39.8: (0.0, 136.0)"
AWW (50%),8%,"93.5: (89.7, 97.4)","93.2: (26.0, 155.0)","11.9: (11.7, 12.1)","12.0: (0.0, 55.0)"
AWW (100%),8%,"84.8: (80.9, 88.6)","84.8: (20.0, 145.0)","6.1: (5.9, 6.2)","6.0: (0.0, 31.0)"
AWW (10%),16%,"112.3: (108.4, 116.2)","112.2: (44.0, 173.0)","45.4: (44.7, 46.1)","45.4: (0.0, 146.0)"
AWW (25%),16%,"93.5: (89.7, 97.4)","93.6: (26.0, 155.0)","11.9: (11.7, 12.1)","11.8: (0.0, 54.0)"
AWW (50%),16%,"84.8: (80.9, 88.6)","84.9: (19.0, 145.0)","6.1: (5.9, 6.2)","6.1: (0.0, 32.0)"
AWW (100%),16%,"84.3: (80.4, 88.2)","84.2: (19.0, 145.0)","5.9: (5.7, 6.0)","5.8: (0.0, 31.0)"
