Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"96.8: (93.8, 99.8)","96.9: (37.4, 151.9)","194.1: (190.6, 197.6)","195.2: (1.0, 699.0)"
AWW (10%),8%,"96.8: (94.0, 99.7)","96.8: (47.0, 142.0)","196.2: (193.2, 199.1)","197.1: (2.0, 698.0)"
AWW (25%),8%,"88.3: (85.4, 91.2)","88.3: (37.0, 133.0)","83.6: (82.3, 84.9)","83.5: (0.0, 322.0)"
AWW (50%),8%,"75.4: (72.4, 78.3)","75.4: (26.0, 121.0)","21.1: (20.8, 21.5)","21.0: (0.0, 91.0)"
AWW (100%),8%,"69.0: (66.1, 72.0)","69.1: (19.0, 114.0)","10.9: (10.6, 11.1)","10.8: (0.0, 51.0)"
AWW (10%),16%,"90.4: (87.5, 93.3)","90.5: (41.0, 136.0)","103.4: (101.9, 105.0)","102.6: (0.0, 391.0)"
AWW (25%),16%,"75.4: (72.4, 78.3)","75.4: (26.0, 121.0)","21.1: (20.8, 21.5)","21.1: (0.0, 91.0)"
AWW (50%),16%,"69.0: (66.1, 72.0)","69.2: (19.0, 114.0)","10.9: (10.6, 11.1)","10.8: (0.0, 51.0)"
AWW (100%),16%,"68.5: (65.6, 71.5)","68.5: (19.0, 114.0)","10.1: (9.9, 10.3)","10.1: (0.0, 48.0)"
