Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"77.6: (75.9, 79.4)","77.7: (31.7, 115.6)","1336.6: (1314.0, 1359.2)","1340.1: (3.0, 4475.1)"
AWW (10%),8%,"60.7: (59.0, 62.4)","60.8: (31.0, 88.0)","300.6: (295.6, 305.6)","300.0: (4.0, 1138.0)"
AWW (25%),8%,"55.7: (54.0, 57.4)","55.6: (26.0, 82.0)","121.9: (119.9, 123.9)","121.8: (1.0, 464.0)"
AWW (50%),8%,"48.3: (46.6, 50.1)","48.3: (19.0, 75.0)","31.7: (31.1, 32.2)","31.7: (0.0, 131.0)"
AWW (100%),8%,"44.7: (42.9, 46.4)","44.6: (15.0, 72.0)","16.0: (15.8, 16.3)","16.1: (0.0, 74.0)"
AWW (10%),16%,"57.0: (55.3, 58.7)","57.0: (28.0, 84.0)","153.5: (151.1, 155.8)","152.9: (1.0, 576.0)"
AWW (25%),16%,"48.3: (46.6, 50.1)","48.3: (19.0, 75.0)","31.7: (31.1, 32.2)","31.7: (0.0, 131.0)"
AWW (50%),16%,"44.7: (42.9, 46.4)","44.7: (15.0, 72.0)","16.0: (15.8, 16.3)","16.1: (0.0, 73.0)"
AWW (100%),16%,"44.5: (42.7, 46.2)","44.5: (15.0, 71.0)","15.5: (15.3, 15.8)","15.5: (0.0, 71.0)"
