Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"90.4: (88.2, 92.5)","90.2: (37.5, 132.7)","1508.8: (1487.6, 1530.1)","1500.2: (4.0, 4396.0)"
AWW (10%),8%,"73.2: (71.2, 75.3)","73.3: (38.0, 105.0)","454.8: (447.1, 462.5)","456.2: (7.0, 1709.0)"
AWW (25%),8%,"67.1: (65.1, 69.2)","67.2: (32.0, 99.0)","182.4: (179.6, 185.3)","181.7: (2.0, 684.0)"
AWW (50%),8%,"58.1: (56.0, 60.2)","58.1: (22.0, 90.0)","47.1: (46.4, 47.9)","47.1: (0.0, 194.0)"
AWW (100%),8%,"53.6: (51.5, 55.7)","53.7: (18.0, 86.0)","23.7: (23.3, 24.1)","23.7: (0.0, 104.0)"
AWW (10%),16%,"68.6: (66.6, 70.7)","68.6: (33.0, 101.0)","229.5: (225.7, 233.4)","229.4: (2.0, 849.0)"
AWW (25%),16%,"58.1: (56.0, 60.2)","58.0: (22.0, 90.0)","47.1: (46.4, 47.9)","47.1: (0.0, 195.0)"
AWW (50%),16%,"53.6: (51.5, 55.7)","53.6: (19.0, 86.0)","23.7: (23.3, 24.1)","23.6: (0.0, 104.0)"
AWW (100%),16%,"53.4: (51.3, 55.5)","53.4: (18.0, 86.0)","22.8: (22.4, 23.2)","22.7: (0.0, 99.0)"
