Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"84.3: (81.4, 87.2)","84.3: (31.7, 134.2)","55.7: (54.7, 56.7)","55.8: (0.0, 241.0)"
AWW (10%),8%,"88.7: (85.9, 91.4)","88.7: (41.0, 132.0)","87.9: (86.5, 89.3)","88.1: (0.0, 328.0)"
AWW (25%),8%,"80.4: (77.6, 83.2)","80.4: (32.0, 124.0)","36.5: (35.9, 37.1)","36.4: (0.0, 141.0)"
AWW (50%),8%,"67.9: (65.0, 70.7)","67.8: (19.0, 111.0)","9.4: (9.3, 9.6)","9.4: (0.0, 44.0)"
AWW (100%),8%,"61.9: (59.0, 64.7)","61.7: (15.0, 106.0)","4.8: (4.7, 4.9)","4.8: (0.0, 26.0)"
AWW (10%),16%,"82.3: (79.5, 85.1)","82.3: (34.0, 126.0)","45.5: (44.8, 46.3)","45.9: (0.0, 176.0)"
AWW (25%),16%,"67.9: (65.0, 70.7)","67.7: (19.0, 111.0)","9.4: (9.3, 9.6)","9.4: (0.0, 45.0)"
AWW (50%),16%,"61.9: (59.0, 64.7)","62.0: (15.0, 106.0)","4.8: (4.7, 4.9)","4.8: (0.0, 26.0)"
AWW (100%),16%,"61.6: (58.7, 64.4)","61.4: (15.0, 105.0)","4.7: (4.6, 4.8)","4.7: (0.0, 25.0)"
