Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"83.9: (82.1, 85.8)","83.9: (35.3, 119.8)","2259.9: (2227.3, 2292.5)","2259.8: (4.0, 6465.0)"
AWW (10%),8%,"62.7: (61.0, 64.4)","62.7: (33.0, 90.0)","398.7: (392.4, 404.9)","399.2: (6.0, 1484.0)"
AWW (25%),8%,"57.7: (55.9, 59.4)","57.6: (28.0, 85.0)","163.9: (161.2, 166.6)","164.7: (1.0, 616.0)"
AWW (50%),8%,"50.0: (48.2, 51.8)","50.0: (20.0, 77.0)","41.9: (41.3, 42.6)","41.8: (0.0, 178.0)"
AWW (100%),8%,"46.3: (44.5, 48.0)","46.2: (16.0, 73.0)","21.0: (20.6, 21.4)","21.2: (0.0, 97.0)"
AWW (10%),16%,"58.8: (57.1, 60.6)","58.8: (29.0, 86.0)","203.2: (199.9, 206.6)","204.2: (2.0, 776.0)"
AWW (25%),16%,"50.0: (48.2, 51.8)","50.0: (20.0, 77.0)","41.9: (41.3, 42.6)","42.1: (0.0, 178.0)"
AWW (50%),16%,"46.3: (44.5, 48.0)","46.2: (16.0, 73.0)","21.0: (20.6, 21.4)","20.9: (0.0, 95.0)"
AWW (100%),16%,"46.1: (44.3, 47.9)","46.1: (16.0, 73.0)","20.3: (19.9, 20.7)","20.3: (0.0, 94.0)"
