Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"108.5: (105.0, 112.1)","108.5: (39.7, 171.6)","148.9: (146.1, 151.8)","148.4: (1.0, 497.0)"
AWW (10%),8%,"112.6: (109.1, 116.1)","112.6: (53.0, 166.0)","178.8: (175.6, 182.0)","178.6: (3.0, 501.0)"
AWW (25%),8%,"105.1: (101.6, 108.5)","105.3: (46.0, 159.0)","102.1: (100.6, 103.7)","102.1: (1.0, 368.0)"
AWW (50%),8%,"89.1: (85.6, 92.7)","89.1: (29.0, 143.0)","26.5: (26.1, 27.0)","26.6: (0.0, 112.0)"
AWW (100%),8%,"81.5: (78.0, 85.1)","81.4: (22.0, 136.0)","13.6: (13.3, 13.8)","13.6: (0.0, 61.0)"
AWW (10%),16%,"106.8: (103.4, 110.3)","106.8: (46.0, 161.0)","118.9: (117.1, 120.7)","118.5: (1.0, 405.0)"
AWW (25%),16%,"89.1: (85.6, 92.7)","89.2: (29.0, 143.0)","26.5: (26.1, 27.0)","26.4: (0.0, 112.0)"
AWW (50%),16%,"81.5: (78.0, 85.1)","81.4: (22.0, 136.0)","13.6: (13.3, 13.8)","13.5: (0.0, 62.0)"
AWW (100%),16%,"81.1: (77.6, 84.6)","81.3: (22.0, 135.0)","13.0: (12.8, 13.2)","13.0: (0.0, 59.0)"
