Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"95.7: (93.1, 98.3)","95.7: (38.1, 145.8)","565.9: (557.1, 574.7)","564.9: (2.0, 1792.0)"
AWW (10%),8%,"87.8: (85.3, 90.3)","87.7: (44.0, 127.0)","344.2: (338.5, 349.9)","342.6: (5.0, 1295.0)"
AWW (25%),8%,"80.3: (77.7, 82.8)","80.1: (36.0, 119.0)","138.7: (136.6, 140.8)","138.1: (1.0, 523.0)"
AWW (50%),8%,"69.0: (66.4, 71.6)","68.9: (25.0, 109.0)","35.4: (34.8, 36.0)","35.4: (0.0, 146.0)"
AWW (100%),8%,"63.5: (60.9, 66.1)","63.5: (19.0, 103.0)","17.9: (17.6, 18.3)","18.0: (0.0, 80.0)"
AWW (10%),16%,"82.2: (79.6, 84.7)","82.2: (39.0, 122.0)","174.4: (171.7, 177.1)","173.7: (2.0, 668.0)"
AWW (25%),16%,"69.0: (66.4, 71.6)","69.1: (25.0, 109.0)","35.4: (34.8, 36.0)","35.3: (0.0, 146.0)"
AWW (50%),16%,"63.5: (60.9, 66.1)","63.6: (19.0, 103.0)","17.9: (17.6, 18.3)","18.0: (0.0, 79.0)"
AWW (100%),16%,"63.2: (60.6, 65.8)","63.1: (19.0, 103.0)","17.4: (17.1, 17.7)","17.4: (0.0, 78.0)"
