Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"147.8: (142.1, 153.4)","147.5: (47.0, 233.5)","26.4: (26.0, 26.9)","26.5: (0.0, 81.0)"
AWW (10%),8%,"151.2: (145.3, 157.0)","151.2: (53.0, 234.0)","28.1: (27.3, 28.8)","28.0: (0.0, 80.0)"
AWW (25%),8%,"148.4: (142.6, 154.2)","148.2: (48.0, 231.0)","25.6: (25.0, 26.1)","25.4: (0.0, 78.0)"
AWW (50%),8%,"135.3: (129.6, 140.9)","135.0: (35.0, 220.0)","15.7: (15.4, 15.9)","15.6: (0.0, 61.0)"
AWW (100%),8%,"123.2: (117.6, 128.8)","123.2: (25.0, 208.0)","9.1: (9.0, 9.3)","9.1: (0.0, 43.0)"
AWW (10%),16%,"149.6: (143.8, 155.4)","149.4: (48.0, 231.0)","26.7: (26.1, 27.3)","26.6: (0.0, 80.0)"
AWW (25%),16%,"135.3: (129.6, 140.9)","135.3: (35.0, 220.0)","15.7: (15.4, 15.9)","15.6: (0.0, 61.0)"
AWW (50%),16%,"123.2: (117.6, 128.8)","123.1: (26.0, 208.0)","9.1: (9.0, 9.3)","9.1: (0.0, 43.0)"
AWW (100%),16%,"122.3: (116.7, 127.9)","122.3: (24.0, 207.0)","8.8: (8.6, 8.9)","8.7: (0.0, 41.0)"
